Breed,Age (years),Weight (kg),Gender,Spayed/Neutered,Vaccination Status,Fever,Eating Normally,Lethargy,Vomiting,Coughing/Sneezing,Breathing Issue,Rash/Swelling,Wounds/Cuts,Hair Loss,Excessive Scratching,Red/Watery Eyes,Eye Discharge,Ear Odor,Shakes Head,Eating Less,Excessive Drinking,Abnormal Stools,Aggressive/Irritable,Avoiding Interaction,Pacing/Whining,Pain Symptoms,Food Changes,Exposure to Sick Dogs,Predicted Sickness
Cocker Spaniel,15,13.3,Female,Yes,Not up to date,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Respiratory Infection
Saint Bernard,7,40.3,Female,No,Not up to date,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Gastrointestinal Infection
Bernese Mountain Dog,8,57.0,Male,No,Not up to date,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Respiratory Infection
Yorkshire Terrier,8,6.9,Female,Yes,Not up to date,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Respiratory Infection
Saint Bernard,13,28.0,Female,Yes,Up to date,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Gastrointestinal Infection
German Shepherd,11,39.5,Female,Yes,Up to date,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Ear Infection
Corgi,7,11.3,Female,No,Up to date,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Gastrointestinal Infection
Tibetan Mastiff,12,45.2,Female,Yes,Not up to date,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Parvovirus
Alaskan Malamute,8,43.9,Male,No,Not up to date,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Gastrointestinal Infection
Yorkshire Terrier,2,3.4,Male,No,Not up to date,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Gastrointestinal Infection
Alaskan Malamute,6,49.9,Male,Yes,Not up to date,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Diabetes
Labrador Retriever,5,38.8,Male,No,Not up to date,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Respiratory Infection
Belgian Malinois,13,39.9,Male,Yes,Not up to date,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Skin Allergy
German Shepherd,0,37.5,Male,No,Not up to date,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Gastrointestinal Infection
Pomeranian,3,5.9,Female,No,Not up to date,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Respiratory Infection
Yorkshire Terrier,6,6.2,Female,No,Not up to date,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Gastrointestinal Infection
Saint Bernard,9,53.7,Male,No,Up to date,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Respiratory Infection
Great Pyrenees,13,49.9,Female,No,Up to date,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Respiratory Infection
Chihuahua,9,6.6,Female,No,Up to date,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Gastrointestinal Infection
Australian Shepherd,2,14.2,Male,Yes,Up to date,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Gastrointestinal Infection
Tibetan Mastiff,5,30.1,Male,Yes,Not up to date,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Skin Allergy
Chihuahua,4,5.3,Female,No,Up to date,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Skin Allergy
Shetland Sheepdog,3,22.6,Female,Yes,Up to date,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Gastrointestinal Infection
Labrador Retriever,0,59.5,Female,Yes,Up to date,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Gastrointestinal Infection
Rottweiler,7,33.0,Female,Yes,Up to date,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Gastrointestinal Infection
Boxer,10,51.1,Female,No,Not up to date,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Arthritis
Yorkshire Terrier,13,8.0,Male,No,Up to date,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Gastrointestinal Infection
Australian Shepherd,12,15.5,Male,No,Not up to date,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Parvovirus
Beagle,15,9.1,Female,Yes,Not up to date,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Respiratory Infection
Bulldog,14,22.0,Male,No,Not up to date,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Gastrointestinal Infection
Toy Poodle,15,7.0,Male,No,Up to date,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Ear Infection
Akita,13,55.8,Female,No,Not up to date,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Skin Allergy
Siberian Husky,0,28.1,Female,Yes,Not up to date,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Skin Allergy
Tibetan Mastiff,2,26.3,Male,Yes,Not up to date,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Healthy
Maltese,4,5.8,Female,No,Up to date,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Skin Allergy
Mastiff,12,54.8,Female,No,Up to date,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Gastrointestinal Infection
Leonberger,4,33.5,Male,No,Not up to date,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Respiratory Infection
Bulldog,13,24.4,Female,Yes,Not up to date,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Gastrointestinal Infection
Great Dane,7,32.9,Female,No,Not up to date,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Ear Infection
Corgi,10,18.1,Male,No,Not up to date,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Arthritis
Mastiff,11,59.6,Female,No,Up to date,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Respiratory Infection
Doberman Pinscher,1,55.3,Male,No,Up to date,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Skin Allergy
Rottweiler,12,52.9,Female,Yes,Up to date,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Gastrointestinal Infection
Leonberger,0,47.0,Male,Yes,Not up to date,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Arthritis
Bernese Mountain Dog,13,35.3,Male,Yes,Up to date,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Ear Infection
Mastiff,1,42.7,Female,Yes,Up to date,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Ear Infection
German Shepherd,1,30.4,Male,Yes,Up to date,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Skin Allergy
Great Dane,12,28.6,Female,Yes,Up to date,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Gastrointestinal Infection
Alaskan Malamute,11,54.7,Male,No,Not up to date,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Skin Allergy
Labrador Retriever,5,31.4,Female,Yes,Up to date,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Gastrointestinal Infection
Cocker Spaniel,8,17.8,Male,No,Up to date,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Respiratory Infection
Shetland Sheepdog,12,20.1,Female,Yes,Not up to date,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Gastrointestinal Infection
Irish Wolfhound,3,39.0,Male,Yes,Not up to date,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Respiratory Infection
Shih Tzu,8,5.0,Male,Yes,Not up to date,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Respiratory Infection
Irish Wolfhound,9,53.9,Male,No,Not up to date,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Gastrointestinal Infection
Doberman Pinscher,15,38.9,Male,Yes,Up to date,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Respiratory Infection
Australian Shepherd,13,18.9,Female,No,Not up to date,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Skin Allergy
Leonberger,13,46.2,Male,Yes,Not up to date,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Worm Infestation
Border Collie,11,14.9,Male,Yes,Up to date,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Gastrointestinal Infection
Belgian Malinois,5,48.6,Female,No,Up to date,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Skin Allergy
Great Dane,6,51.0,Male,Yes,Up to date,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Arthritis
Yorkshire Terrier,13,4.6,Female,No,Up to date,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Respiratory Infection
Tibetan Mastiff,6,57.5,Female,No,Up to date,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Skin Allergy
Corgi,7,19.6,Male,Yes,Up to date,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Respiratory Infection
Dachshund,12,2.5,Female,No,Not up to date,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Respiratory Infection
Mastiff,2,40.5,Male,Yes,Not up to date,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Gastrointestinal Infection
Great Pyrenees,9,49.8,Female,Yes,Up to date,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Skin Allergy
Great Dane,0,43.6,Female,No,Not up to date,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Ear Infection
Doberman Pinscher,0,48.3,Female,No,Up to date,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Respiratory Infection
Toy Poodle,5,6.2,Female,No,Up to date,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Ear Infection
Cocker Spaniel,3,11.4,Female,No,Up to date,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Skin Allergy
Rottweiler,11,55.5,Female,No,Not up to date,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Ear Infection
Belgian Malinois,6,46.1,Female,No,Up to date,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Skin Allergy
Tibetan Mastiff,1,46.9,Male,No,Up to date,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Respiratory Infection
Cocker Spaniel,7,18.5,Male,No,Up to date,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Skin Allergy
Leonberger,9,31.5,Female,Yes,Up to date,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Gastrointestinal Infection
Chihuahua,3,6.4,Female,Yes,Up to date,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Respiratory Infection
Bulldog,6,23.6,Male,Yes,Not up to date,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Parvovirus
Tibetan Mastiff,9,50.2,Male,No,Up to date,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Ear Infection
Doberman Pinscher,8,42.9,Female,No,Not up to date,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Respiratory Infection
Mastiff,6,32.9,Female,Yes,Up to date,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Skin Allergy
Shih Tzu,11,3.6,Female,No,Up to date,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Gastrointestinal Infection
Chihuahua,1,6.7,Male,No,Up to date,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Respiratory Infection
Bulldog,6,19.2,Female,No,Up to date,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Ear Infection
Staffordshire Bull Terrier,5,21.9,Male,No,Not up to date,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Gastrointestinal Infection
Shetland Sheepdog,10,24.1,Female,No,Up to date,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Diabetes
Great Pyrenees,15,31.6,Female,No,Up to date,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Gastrointestinal Infection
Irish Wolfhound,3,52.9,Female,No,Not up to date,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Respiratory Infection
Dachshund,4,5.6,Female,Yes,Not up to date,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Respiratory Infection
Boxer,11,36.6,Male,Yes,Up to date,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Ear Infection
Belgian Malinois,3,50.7,Female,No,Up to date,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Respiratory Infection
Australian Shepherd,7,21.2,Male,Yes,Not up to date,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Gastrointestinal Infection
Shih Tzu,8,4.1,Male,No,Not up to date,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Respiratory Infection
Australian Shepherd,11,9.6,Female,No,Not up to date,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Skin Allergy
Golden Retriever,8,38.9,Female,Yes,Up to date,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Diabetes
Alaskan Malamute,10,49.3,Male,No,Up to date,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Gastrointestinal Infection
Rottweiler,7,58.7,Female,No,Up to date,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Skin Allergy
Shetland Sheepdog,12,14.5,Male,No,Not up to date,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Gastrointestinal Infection
Alaskan Malamute,14,38.4,Female,No,Not up to date,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Skin Allergy
Corgi,12,24.3,Male,No,Up to date,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Gastrointestinal Infection
Akita,9,44.8,Female,No,Up to date,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Ear Infection
Leonberger,10,46.2,Female,Yes,Up to date,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Diabetes
Cocker Spaniel,6,14.7,Male,No,Not up to date,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Respiratory Infection
Chihuahua,15,7.6,Female,No,Up to date,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Ear Infection
Great Dane,11,38.2,Male,Yes,Not up to date,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Ear Infection
Saint Bernard,5,44.6,Female,No,Not up to date,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Ear Infection
Dachshund,4,3.4,Female,Yes,Up to date,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Healthy
Siberian Husky,12,39.7,Male,No,Not up to date,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Gastrointestinal Infection
Beagle,4,23.8,Female,Yes,Not up to date,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Respiratory Infection
Doberman Pinscher,5,42.0,Female,Yes,Not up to date,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Respiratory Infection
Doberman Pinscher,4,54.4,Male,Yes,Not up to date,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Respiratory Infection
Boxer,10,44.7,Male,No,Not up to date,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Heart Disease
Belgian Malinois,15,39.7,Male,Yes,Up to date,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Ear Infection
Corgi,7,21.7,Male,No,Up to date,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Ear Infection
Great Dane,13,54.1,Female,Yes,Up to date,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Skin Allergy
Beagle,2,24.2,Female,Yes,Not up to date,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Heart Disease
Labrador Retriever,4,39.2,Female,No,Up to date,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Ear Infection
Staffordshire Bull Terrier,3,9.7,Male,Yes,Up to date,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Gastrointestinal Infection
Great Dane,7,35.8,Male,No,Not up to date,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Skin Allergy
Border Collie,14,23.9,Female,No,Up to date,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Skin Allergy
Dachshund,4,4.4,Female,No,Up to date,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Skin Allergy
Toy Poodle,0,7.8,Male,Yes,Not up to date,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Skin Allergy
Bernese Mountain Dog,12,47.1,Male,Yes,Up to date,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Gastrointestinal Infection
Golden Retriever,2,33.8,Female,No,Up to date,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Ear Infection
Toy Poodle,14,6.0,Male,Yes,Up to date,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Arthritis
Cocker Spaniel,1,14.9,Male,No,Up to date,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Respiratory Infection
Irish Wolfhound,8,56.0,Female,Yes,Not up to date,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Gastrointestinal Infection
Saint Bernard,12,46.4,Female,Yes,Up to date,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Respiratory Infection
Rottweiler,0,35.2,Female,No,Up to date,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Gastrointestinal Infection
Maltese,10,6.5,Female,No,Up to date,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Heart Disease
Yorkshire Terrier,12,6.9,Female,No,Up to date,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Respiratory Infection
Cocker Spaniel,5,10.2,Female,No,Up to date,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Arthritis
